                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.90769,                0.43892,                0.87431,                0.82283,                 0.8177,                0.83861,                0.58704,                0.88438,                0.41625,                 0.8608,             0.00044007,             0.00044007,             0.00044007
                     64,                0.89782,                0.43454,                0.87327,                0.80675,                0.82037,                0.83511,                0.58704,                0.88396,                0.41671,                0.85955,             0.00042907,             0.00042907,             0.00042907
                     65,                0.89378,                0.43328,                0.87162,                0.82557,                0.80708,                0.83957,                0.58833,                 0.8835,                0.41617,                0.86024,             0.00041807,             0.00041807,             0.00041807
                     66,                 0.8892,                0.42661,                0.86986,                0.82013,                0.81353,                0.84634,                0.59199,                0.87951,                0.41432,                0.85963,             0.00040707,             0.00040707,             0.00040707
                     67,                0.88152,                0.42455,                0.86878,                 0.8281,                0.81629,                0.84803,                0.59614,                0.88033,                0.41215,                0.85882,             0.00039607,             0.00039607,             0.00039607
                     68,                0.88639,                0.42996,                0.87283,                0.83228,                0.80918,                0.84453,                0.59396,                 0.8791,                0.41101,                0.85935,             0.00038507,             0.00038507,             0.00038507
                     69,                0.88975,                0.42937,                0.86861,                0.81842,                0.82035,                0.84571,                0.59186,                 0.8814,                0.41351,                0.85915,             0.00037407,             0.00037407,             0.00037407
                     70,                0.89109,                0.42878,                0.87038,                0.83029,                0.81584,                0.84548,                0.59412,                0.87823,                 0.4107,                0.85817,             0.00036307,             0.00036307,             0.00036307
                     71,                0.88691,                0.42893,                0.86986,                0.82676,                0.81737,                0.84548,                0.59356,                0.88033,                0.41182,                0.85902,             0.00035208,             0.00035208,             0.00035208
                     72,                0.88241,                0.42544,                0.86748,                 0.8272,                0.81929,                0.85029,                0.59642,                0.87723,                0.40879,                0.85769,             0.00034108,             0.00034108,             0.00034108
                     73,                0.87872,                0.42083,                 0.8697,                0.82507,                0.81559,                0.84481,                0.59223,                0.87505,                 0.4097,                0.85761,             0.00033008,             0.00033008,             0.00033008
                     74,                0.87905,                0.42091,                0.86662,                0.83063,                0.81493,                0.84704,                0.59524,                0.87421,                0.40733,                0.85683,             0.00031908,             0.00031908,             0.00031908
                     75,                0.88122,                 0.4238,                0.86711,                0.82798,                0.81839,                0.84845,                0.59635,                 0.8757,                 0.4078,                 0.8566,             0.00030808,             0.00030808,             0.00030808
                     76,                0.87131,                0.41479,                0.86706,                0.82687,                0.82461,                0.84885,                0.59686,                 0.8754,                0.40465,                0.85707,             0.00029708,             0.00029708,             0.00029708
                     77,                 0.8756,                 0.4191,                0.86677,                0.82663,                0.81823,                0.84815,                 0.5961,                0.87675,                0.40591,                0.85685,             0.00028608,             0.00028608,             0.00028608
                     78,                0.87302,                0.41674,                 0.8677,                0.81969,                0.81843,                 0.8457,                0.59378,                0.87518,                0.40549,                0.85661,             0.00027508,             0.00027508,             0.00027508
                     79,                0.86533,                0.41317,                0.86271,                0.82472,                0.82518,                0.84769,                 0.5963,                0.87326,                0.40618,                0.85553,             0.00026408,             0.00026408,             0.00026408
                     80,                0.86749,                0.41311,                0.86567,                0.81485,                 0.8192,                0.84281,                0.59175,                0.87718,                 0.4056,                0.85722,             0.00025309,             0.00025309,             0.00025309
                     81,                0.86854,                0.41018,                 0.8647,                0.82014,                0.81839,                0.84213,                0.59233,                0.87714,                0.40656,                 0.8571,             0.00024209,             0.00024209,             0.00024209
                     82,                0.86537,                0.41212,                 0.8668,                0.82101,                0.81785,                0.84034,                0.59177,                0.87685,                 0.4051,                0.85672,             0.00023109,             0.00023109,             0.00023109
                     83,                0.86918,                0.41273,                0.86486,                0.81761,                0.82515,                0.84652,                0.59647,                0.87594,                0.40397,                0.85727,             0.00022009,             0.00022009,             0.00022009
                     84,                0.86084,                0.40678,                0.86367,                 0.8147,                0.82461,                0.84444,                0.59403,                0.87593,                0.40376,                0.85672,             0.00020909,             0.00020909,             0.00020909
                     85,                0.85735,                0.40751,                0.86333,                0.82465,                0.81886,                0.84574,                0.59443,                0.87455,                0.40353,                0.85643,             0.00019809,             0.00019809,             0.00019809
                     86,                0.85407,                0.40117,                0.86237,                 0.8214,                0.82263,                0.84974,                0.59773,                0.87513,                0.40298,                0.85622,             0.00018709,             0.00018709,             0.00018709
                     87,                0.85677,                0.40608,                0.86011,                 0.8168,                0.83287,                0.84987,                 0.5971,                0.87415,                0.40217,                0.85562,             0.00017609,             0.00017609,             0.00017609
                     88,                0.85179,                0.40411,                0.86226,                0.82245,                0.82762,                0.84926,                0.59824,                0.87268,                0.40245,                0.85564,             0.00016509,             0.00016509,             0.00016509
                     89,                0.86205,                0.40756,                0.86339,                0.82591,                0.81634,                0.84892,                0.59763,                0.87339,                0.40288,                0.85574,              0.0001541,              0.0001541,              0.0001541
                     90,                0.85546,                0.40431,                0.86014,                0.82543,                0.81817,                0.84758,                0.59571,                0.87428,                0.40319,                0.85549,              0.0001431,              0.0001431,              0.0001431
                     91,                0.85615,                0.38919,                0.85891,                0.82459,                0.81962,                0.84911,                0.59623,                0.87638,                0.40283,                0.85565,              0.0001321,              0.0001321,              0.0001321
                     92,                0.84669,                0.38227,                0.85687,                0.82249,                0.81991,                0.84695,                0.59522,                0.87678,                0.40292,                  0.856,              0.0001211,              0.0001211,              0.0001211
                     93,                0.84685,                0.38263,                0.85448,                0.81642,                0.82344,                0.84814,                0.59702,                0.87641,                0.40166,                0.85499,              0.0001101,              0.0001101,              0.0001101
                     94,                  0.845,                0.38003,                0.85444,                 0.8196,                0.82224,                0.84981,                0.59798,                0.87592,                0.40186,                0.85542,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.84648,                0.38082,                0.85502,                0.81814,                0.82349,                0.85056,                0.59825,                0.87482,                0.40089,                0.85552,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                 0.8387,                 0.3759,                0.85347,                0.82363,                0.82061,                0.84991,                0.59843,                0.87492,                0.40124,                0.85584,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.83716,                0.37431,                 0.8543,                0.81683,                0.82582,                0.85003,                0.59839,                0.87488,                0.40036,                0.85601,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.83455,                0.37466,                0.85663,                0.81698,                0.82532,                0.85056,                0.59951,                0.87428,                0.39965,                 0.8562,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.83324,                0.37343,                0.85338,                0.82458,                0.81749,                0.85103,                0.60013,                0.87443,                0.39949,                 0.8565,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.83321,                0.37247,                0.85425,                0.82285,                0.82404,                0.85145,                0.60053,                0.87474,                0.39948,                0.85648,             3.3108e-05,             3.3108e-05,             3.3108e-05
