                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.81332,                0.38133,                0.83293,                 1.1493,                0.45312,                0.81501,                0.80973,                0.80383,                0.83318,                0.57373,                0.87524,                0.39601,                0.86497,                 1.1284,                0.46864,                0.86176,               0.001684,               0.001684,               0.001684
                     87,                0.81379,                0.38174,                0.83262,                 1.1439,                0.45225,                0.81412,                0.80471,                0.80442,                0.83302,                0.57368,                0.87521,                0.39566,                0.86483,                  1.128,                0.46931,                0.86159,               0.001585,               0.001585,               0.001585
                     88,                0.81165,                0.37991,                0.83217,                 1.1462,                0.45222,                 0.8138,                0.81426,                 0.7987,                0.83283,                0.57359,                0.87516,                0.39548,                0.86483,                 1.1275,                0.46902,                0.86145,               0.001486,               0.001486,               0.001486
                     89,                0.80691,                0.37758,                0.83107,                 1.1396,                0.44721,                0.81294,                0.80817,                0.80365,                0.83285,                0.57369,                0.87509,                0.39526,                0.86466,                 1.1273,                0.46851,                0.86131,               0.001387,               0.001387,               0.001387
                     90,                0.80779,                0.37752,                0.83172,                 1.1438,                0.44917,                 0.8129,                0.80618,                0.80517,                0.83283,                0.57362,                0.87493,                0.39508,                0.86454,                  1.127,                0.46878,                0.86116,               0.001288,               0.001288,               0.001288
                     91,                0.81765,                0.37178,                0.83595,                 1.1436,                0.44131,                0.81842,                0.80706,                 0.8034,                0.83267,                0.57355,                0.87486,                0.39486,                0.86443,                  1.127,                0.46839,                0.86113,               0.001189,               0.001189,               0.001189
                     92,                0.80866,                0.36892,                0.83384,                  1.127,                0.43637,                 0.8167,                 0.8093,                0.80174,                0.83272,                0.57398,                0.87474,                0.39464,                0.86438,                 1.1269,                0.46794,                0.86107,                0.00109,                0.00109,                0.00109
                     93,                0.80453,                0.36631,                0.83399,                 1.1238,                0.43276,                0.81656,                  0.808,                0.80338,                0.83273,                 0.5742,                0.87462,                0.39446,                0.86431,                 1.1268,                0.46664,                0.86107,               0.000991,               0.000991,               0.000991
                     94,                0.80151,                0.36367,                0.83256,                 1.1222,                0.43145,                0.81618,                0.81012,                0.80361,                0.83298,                0.57436,                0.87443,                0.39416,                0.86425,                 1.1268,                0.46563,                0.86108,               0.000892,               0.000892,               0.000892
                     95,                0.79898,                0.36225,                0.83283,                 1.1188,                0.43094,                0.81626,                0.80864,                0.80306,                0.83344,                0.57476,                0.87414,                0.39396,                0.86414,                 1.1266,                0.46514,                0.86115,               0.000793,               0.000793,               0.000793
                     96,                0.79671,                0.36081,                0.83195,                  1.115,                0.42895,                0.81655,                0.80959,                0.80086,                0.83412,                0.57535,                0.87384,                0.39367,                0.86398,                 1.1262,                 0.4648,                0.86105,               0.000694,               0.000694,               0.000694
                     97,                0.79424,                0.35857,                0.83159,                 1.1124,                0.42857,                0.81529,                0.81166,                0.79821,                0.83416,                0.57531,                0.87372,                0.39343,                0.86393,                  1.126,                0.46455,                  0.861,               0.000595,               0.000595,               0.000595
                     98,                0.78837,                0.35465,                0.83097,                 1.1081,                0.42397,                0.81453,                0.80983,                0.79883,                0.83429,                0.57556,                0.87357,                0.39321,                0.86387,                 1.1259,                0.46421,                0.86091,               0.000496,               0.000496,               0.000496
                     99,                0.78771,                0.35537,                0.82991,                 1.1035,                0.42308,                0.81444,                0.80764,                0.80353,                0.83495,                0.57609,                 0.8735,                0.39297,                0.86387,                 1.1258,                0.46357,                0.86096,               0.000397,               0.000397,               0.000397
                    100,                0.78651,                0.35279,                0.82918,                 1.1052,                0.42211,                0.81318,                 0.8095,                0.80263,                0.83532,                0.57665,                0.87341,                0.39277,                0.86386,                 1.1257,                0.46312,                0.86098,               0.000298,               0.000298,               0.000298
